ID;Nome;Nome_completo;Rua;Numero;Cidade;Estado;Data_Nascimento;Nome_Responsavel
1;Jose ;Jose Silva;Celso Xavier;483;Registro;SP;10/01/2005;Maria Silva
2;Maria;Maria Barbosa;Koji Kitajima;1000;Registro;SP;11/01/2000;Paulo Barbosa
3;Joao;Joao Goulart;Manoel Hirata;1517;Sete_Barras;SP;15/05/2000;Marcia Goulart
4;Marilia;Marilia Costa;Banks Leite;2034;Sete_Barras;SP;22/06/2005;Pedro Costa
5;Josefina;Josefina Pillar;Joao da Silva;2551;Pariquera_Acu;SP;30/06/2009;Patricia Pillar
6;Mauro;Mauro Monteiro;Comendador Carvalho;3068;Registro;SP;10/07/2009;Eduardo Monteiro
7;Luiz;Luiz Moreira;Humaita;3585;Cajati;SP;05/10/1998;Renan Moreira
8;Manoel;Manoel Oliveira;Av Paulista;4102;Registro;SP;19/11/1999;Wilson Oliveira
9;Valdete;Valdete Clemente;Koki Kitajima;90;Cajati;Sao Paulo;19/03/1991;Waldemir
10;Carlos;Carlos Berrini;Rua Sao Paulo;60;Jacupiranga;SP;19/11/1991;Helena Berrini
